Date,Total
1/1/1986,9034
2/1/1986,9596
3/1/1986,10558
4/1/1986,9002
5/1/1986,9239
6/1/1986,8951
7/1/1986,9668
8/1/1986,10188
9/1/1986,9896
10/1/1986,10649
11/1/1986,8917
12/1/1986,8196
1/1/1987,10768
2/1/1987,12220
3/1/1987,14463
4/1/1987,12944
5/1/1987,11001
6/1/1987,11000
7/1/1987,11876
8/1/1987,13021
9/1/1987,13494
10/1/1987,14041
11/1/1987,11312
12/1/1987,10362
1/1/1988,12533
2/1/1988,14343
3/1/1988,14676
4/1/1988,12253
5/1/1988,11840
6/1/1988,12018
7/1/1988,11819
8/1/1988,12453
9/1/1988,12309
10/1/1988,13005
11/1/1988,11815
12/1/1988,10496
1/1/1989,13996
2/1/1989,15158
3/1/1989,15587
4/1/1989,14615
5/1/1989,14792
6/1/1989,14373
7/1/1989,14573
8/1/1989,14385
9/1/1989,15607
10/1/1989,15978
11/1/1989,14436
12/1/1989,12794
1/1/1990,15771
2/1/1990,16476
3/1/1990,16420
4/1/1990,15444
5/1/1990,16118
6/1/1990,15158
7/1/1990,15214
8/1/1990,16257
9/1/1990,15287
10/1/1990,15212
11/1/1990,13488
12/1/1990,12300
1/1/1991,15794
2/1/1991,17113
3/1/1991,17536
4/1/1991,15914
5/1/1991,16716
6/1/1991,15983
7/1/1991,16878
8/1/1991,17893
9/1/1991,16697
10/1/1991,18546
11/1/1991,15486
12/1/1991,15253
1/1/1992,18698
2/1/1992,21100
3/1/1992,22425
4/1/1992,19923
5/1/1992,19454
6/1/1992,18874
7/1/1992,19676
8/1/1992,19559
9/1/1992,19500
10/1/1992,19615
11/1/1992,16814
12/1/1992,15698
1/1/1993,20273
2/1/1993,20774
3/1/1993,21309
4/1/1993,19377
5/1/1993,19211
6/1/1993,19103
7/1/1993,20086
8/1/1993,19758
9/1/1993,19162
10/1/1993,19371
11/1/1993,17709
12/1/1993,17342
1/1/1994,18772
2/1/1994,19363
3/1/1994,20001
4/1/1994,17112
5/1/1994,18027
6/1/1994,17173
7/1/1994,18024
8/1/1994,18983
9/1/1994,17983
10/1/1994,19151
11/1/1994,16427
12/1/1994,15461
1/1/1995,19191
2/1/1995,20008
3/1/1995,21702
4/1/1995,18649
5/1/1995,19169
6/1/1995,18631
7/1/1995,18157
8/1/1995,20187
9/1/1995,18660
10/1/1995,19920
11/1/1995,16680
12/1/1995,16018
1/1/1996,20322
2/1/1996,20613
3/1/1996,22704
4/1/1996,20276
5/1/1996,20669
6/1/1996,18074
7/1/1996,18719
8/1/1996,20217
9/1/1996,19642
10/1/1996,20842
11/1/1996,18204
12/1/1996,16898
1/1/1997,20746
2/1/1997,23058
3/1/1997,24624
4/1/1997,22154
5/1/1997,22444
6/1/1997,21471
7/1/1997,21866
8/1/1997,22548
9/1/1997,21518
10/1/1997,23408
11/1/1997,19645
12/1/1997,18278
1/1/1998,23576
2/1/1998,26650
3/1/1998,26207
4/1/1998,23195
5/1/1998,22960
6/1/1998,23002
7/1/1998,22973
8/1/1998,24089
9/1/1998,22805
10/1/1998,23241
11/1/1998,21581
12/1/1998,21119
1/1/1999,23107
2/1/1999,25780
3/1/1999,28544
4/1/1999,23488
5/1/1999,23964
6/1/1999,23720
7/1/1999,25069
8/1/1999,24618
9/1/1999,24430
10/1/1999,25229
11/1/1999,22344
12/1/1999,22372
1/1/2000,25412
2/1/2000,25354
3/1/2000,29161
4/1/2000,24924
5/1/2000,24763
6/1/2000,25342
7/1/2000,24911
8/1/2000,25847
9/1/2000,23743
10/1/2000,25036
11/1/2000,21911
12/1/2000,20752
1/1/2001,24507
2/1/2001,25968
3/1/2001,28752
4/1/2001,25167
5/1/2001,24728
6/1/2001,23690
7/1/2001,24816
8/1/2001,26004
9/1/2001,24210
10/1/2001,25083
11/1/2001,21807
12/1/2001,21635
1/1/2002,27173
2/1/2002,29308
3/1/2002,28645
4/1/2002,25023
5/1/2002,27261
6/1/2002,24670
7/1/2002,26441
8/1/2002,27961
9/1/2002,26498
10/1/2002,27800
11/1/2002,23939
12/1/2002,22930
1/1/2003,27584
2/1/2003,27586
3/1/2003,30485
4/1/2003,26135
5/1/2003,27370
6/1/2003,25487
7/1/2003,26427
8/1/2003,27672
9/1/2003,26853
10/1/2003,27875
11/1/2003,23416
12/1/2003,22482
1/1/2004,27140
2/1/2004,28526
3/1/2004,28845
4/1/2004,25033
5/1/2004,24764
6/1/2004,24896
7/1/2004,24623
8/1/2004,26538
9/1/2004,24674
10/1/2004,25863
11/1/2004,23156
12/1/2004,22721
1/1/2005,26204
2/1/2005,26526
3/1/2005,27473
4/1/2005,24536
5/1/2005,25764
6/1/2005,25154
7/1/2005,23729
8/1/2005,25336
9/1/2005,24649
10/1/2005,25904
11/1/2005,22868
12/1/2005,21825
1/1/2006,26955
2/1/2006,27349
3/1/2006,29367
4/1/2006,24071
5/1/2006,23173
6/1/2006,21740
7/1/2006,22056
8/1/2006,23923
9/1/2006,22189
10/1/2006,22458
11/1/2006,19476
12/1/2006,21056
1/1/2007,22842
2/1/2007,22943
3/1/2007,23445
4/1/2007,19176
5/1/2007,22058
6/1/2007,19451
7/1/2007,20378
8/1/2007,21778
9/1/2007,20431
10/1/2007,22486
11/1/2007,18889
12/1/2007,18574
1/1/2008,24658
2/1/2008,24997
3/1/2008,23987
